By occupation,Total Number of Workers in 2018,Median weekly earnings in 2018,Total Number of Men Workers in 2018,Median weekly earnings of men in 2018,Total Number of Women Workers in 2018,Median weekly earnings of women in 2018,Total Number of Workers in 2017,Median weekly earnings in 2017,Total Number of Men Workers in 2017,Median weekly earnings of men in 2017,Total Number of Women Workers in 2017,Median weekly earnings of women in 2017,Total Number of Workers in 2016,Median weekly earnings in 2016,Total Number of Men Workers in 2016,Median weekly earnings of men in 2016,Total Number of Women Workers in 2016,Median weekly earnings of women in 2016
Physical therapists,209,"1,395",71,"1,410",139,"1,387",182,"1,317",64,"1,341",118,"1,297",197,"1,325",69,"1,348",128,"1,306"
Radiation therapists,13,–,6,–,8,–,11,–,3,–,8,–,11,–,1,–,10,–
Recreational therapists,11,–,1,–,10,–,5,–,1,–,3,–,9,–,6,–,3,–
Respiratory therapists,95,"1,074",36,–,59,"1,000",83,961,27,–,56,904,76,998,22,–,54,993
Speech-language pathologists,105,"1,215",6,–,100,"1,214",106,"1,213",4,–,102,"1,214",112,"1,200",3,–,109,"1,172"
Exercise physiologists,2,–,0,–,2,–,5,–,1,–,3,–,1,–,0,–,1,–
"Therapists, all other",155,"1,047",33,–,122,"1,014",142,983,29,–,114,947,137,920,32,–,106,913
Veterinarians,64,"1,677",18,–,46,–,60,"1,840",20,–,40,–,65,"1,338",19,–,46,–
Registered nurses,"2,584","1,167",315,"1,271","2,270","1,156","2,536","1,150",283,"1,260","2,253","1,143","2,498","1,154",285,"1,261","2,213","1,143"
Nurse anesthetists,22,–,13,–,8,–,30,–,13,–,17,–,14,–,8,–,6,–
Nurse midwives,2,–,0,–,2,–,5,–,0,–,5,–,5,–,0,–,5,–
Nurse practitioners,158,"1,894",24,–,134,"1,891",141,"1,841",12,–,129,"1,832",144,"1,750",11,–,133,"1,753"
"Health diagnosing and treating practitioners, all other",10,–,6,–,4,–,15,–,3,–,12,–,8,–,1,–,8,–
Clinical laboratory technologists and technicians,290,893,75,819,215,911,297,890,94,"1,061",203,845,295,887,97,"1,071",198,834
Dental hygienists,75,"1,047",3,–,72,"1,055",78,"1,033",5,–,73,"1,028",75,"1,034",2,–,73,"1,045"
Diagnostic related technologists and technicians,269,"1,140",97,"1,232",172,"1,061",271,"1,162",85,"1,404",186,"1,041",254,"1,041",79,"1,156",175,936
Emergency medical technicians and paramedics,180,894,122,943,59,764,203,984,145,"1,119",58,733,174,779,114,821,60,650
Health practitioner support technologists and technicians,542,691,112,807,431,655,469,710,98,858,371,678,474,662,113,712,361,643
Licensed practical and licensed vocational nurses,490,757,56,936,434,743,501,815,62,817,438,814,525,749,44,–,481,743
Medical records and health information technicians,140,765,11,–,129,739,151,763,11,–,140,761,170,798,11,–,159,793
"Opticians, dispensing",47,–,11,–,36,–,43,–,13,–,30,–,42,–,14,–,28,–
Miscellaneous health technologists and technicians,117,873,44,–,73,791,143,811,48,–,95,746,107,745,43,–,64,714
Other healthcare practitioners and technical occupations,100,"1,022",48,–,52,961,77,"1,183",49,–,28,–,96,"1,083",49,–,47,–
Service occupations,"16,288",569,"7,948",641,"8,340",511,"16,044",544,"7,985",608,"8,059",501,"15,908",523,"7,994",595,"7,914",487
Healthcare support occupations,"2,595",561,361,661,"2,235",548,"2,500",542,320,597,"2,180",533,"2,423",525,329,602,"2,094",519
"Nursing, psychiatric, and home health aides","1,419",516,154,558,"1,265",513,"1,387",500,164,583,"1,223",493,"1,386",503,194,534,"1,192",498
Occupational therapy assistants and aides,24,–,4,–,21,–,13,–,1,–,11,–,13,–,1,–,12,–
Physical therapist assistants and aides,68,848,24,–,43,–,47,–,15,–,33,–,48,–,15,–,32,–
Massage therapists,40,–,15,–,24,–,51,632,15,–,36,–,45,–,15,–,30,–
Dental assistants,197,606,9,–,187,598,215,608,12,–,203,602,199,592,19,–,180,583
Medical assistants,499,612,45,–,454,607,457,594,39,–,418,597,488,572,36,–,452,562
Medical transcriptionists,23,–,4,–,18,–,21,–,3,–,18,–,23,–,0,–,23,–
Pharmacy aides,28,–,5,–,23,–,25,–,11,–,14,–,21,–,2,–,19,–
Veterinary assistants and laboratory animal caretakers,49,–,10,–,39,–,37,–,4,–,33,–,24,–,7,–,17,–
Phlebotomists,96,624,29,–,67,602,97,635,16,–,82,639,84,586,12,–,71,570
"Miscellaneous healthcare support occupations, including medical equipment preparers",154,598,61,703,93,559,150,587,40,–,110,603,94,537,29,–,65,504
